Month (YYYY-MM),Total (£),Relevant URLs (space separated)
2016-05,141677095.89,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-07-13T15%3A55%3A01/spending_2016_05.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-07-28T08%3A04%3A39/spending_2016_06.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-09-01T08%3A04%3A35/spending_2016_07.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-09-28T18%3A02%3A17/spending_2016_08.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-10-21T17%3A40%3A39/spending_2016_09.csv
2016-06,111289037.34,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-07-28T08%3A04%3A39/spending_2016_06.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-09-01T08%3A04%3A35/spending_2016_07.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-09-28T18%3A02%3A17/spending_2016_08.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-10-21T17%3A40%3A39/spending_2016_09.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-11-30T12%3A28%3A41/spending_2016_10.csv
2016-07,125573733.72,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-09-01T08%3A04%3A35/spending_2016_07.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-09-28T18%3A02%3A17/spending_2016_08.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-10-21T17%3A40%3A39/spending_2016_09.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-11-30T12%3A28%3A41/spending_2016_10.csv
2016-08,114906473.99,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-09-28T18%3A02%3A17/spending_2016_08.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-10-21T17%3A40%3A39/spending_2016_09.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-11-30T12%3A28%3A41/spending_2016_10.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-12-16T16%3A52%3A32/spending_2016_11.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-01-26T18%3A50%3A00/spending_2016_12.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-01-26T18%3A50%3A00/spending_2017_01.csv
2016-09,123553490.26,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-10-21T17%3A40%3A39/spending_2016_09.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-11-30T12%3A28%3A41/spending_2016_10.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-12-16T16%3A52%3A32/spending_2016_11.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-01-26T18%3A50%3A00/spending_2016_12.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-01-26T18%3A50%3A00/spending_2017_01.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-05-02T07%3A06%3A45/spending_2017_03.csv
2016-10,112911194.93,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-11-30T12%3A28%3A41/spending_2016_10.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-12-16T16%3A52%3A32/spending_2016_11.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-01-26T18%3A50%3A00/spending_2016_12.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-01-26T18%3A50%3A00/spending_2017_01.csv
2016-11,150080031.19,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2016-12-16T16%3A52%3A32/spending_2016_11.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-01-26T18%3A50%3A00/spending_2016_12.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-01-26T18%3A50%3A00/spending_2017_01.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-04-28T07%3A00%3A14/spending_2017_02.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-05-02T07%3A06%3A45/spending_2017_03.csv
2016-12,122475976.61,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-01-26T18%3A50%3A00/spending_2016_12.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-01-26T18%3A50%3A00/spending_2017_01.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-04-28T07%3A00%3A14/spending_2017_02.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-05-02T07%3A06%3A45/spending_2017_03.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-05-24T13%3A55%3A23/spending_2017_04.csv
2017-01,111500331.70,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-01-26T18%3A50%3A00/spending_2017_01.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-04-28T07%3A00%3A14/spending_2017_02.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-05-02T07%3A06%3A45/spending_2017_03.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-05-24T13%3A55%3A23/spending_2017_04.csv
2017-02,100961601.91,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-04-28T07%3A00%3A14/spending_2017_02.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-05-02T07%3A06%3A45/spending_2017_03.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-05-24T13%3A55%3A23/spending_2017_04.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-06-28T11%3A17%3A18/spending_2017_5.csv
2017-03,119201425.93,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-05-02T07%3A06%3A45/spending_2017_03.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-05-24T13%3A55%3A23/spending_2017_04.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-06-28T11%3A17%3A18/spending_2017_5.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-07-28T08%3A51%3A39/spending_2017_6.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-08-25T09%3A35%3A39/spending%20_2017_7.csv
2017-04,100421346.07,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-05-24T13%3A55%3A23/spending_2017_04.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-06-28T11%3A17%3A18/spending_2017_5.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-07-28T08%3A51%3A39/spending_2017_6.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-08-25T09%3A35%3A39/spending%20_2017_7.csv
2017-05,154053839.52,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-06-28T11%3A17%3A18/spending_2017_5.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-07-28T08%3A51%3A39/spending_2017_6.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-08-25T09%3A35%3A39/spending%20_2017_7.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-09-21T12%3A51%3A15/spending_2017_8.csv
2017-06,183342106.96,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-07-28T08%3A51%3A39/spending_2017_6.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-08-25T09%3A35%3A39/spending%20_2017_7.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-09-21T12%3A51%3A15/spending_2017_8.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-10-18T10%3A17%3A24/Spending_2017_09.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-12-18T10%3A18%3A03/spending_2017_11.csv
2017-07,111742444.67,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-08-25T09%3A35%3A39/spending%20_2017_7.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-09-21T12%3A51%3A15/spending_2017_8.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-10-18T10%3A17%3A24/Spending_2017_09.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-11-28T07%3A17%3A34/spending_2017_10.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-12-18T10%3A18%3A03/spending_2017_11.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-01-24T11%3A44%3A10/spending_2017_12.csv
2017-08,115838889.71,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-09-21T12%3A51%3A15/spending_2017_8.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-10-18T10%3A17%3A24/Spending_2017_09.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-11-28T07%3A17%3A34/spending_2017_10.csv
2017-09,92652005.14,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-09-21T12%3A51%3A15/spending_2017_8.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-10-18T10%3A17%3A24/Spending_2017_09.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-11-28T07%3A17%3A34/spending_2017_10.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-12-18T10%3A18%3A03/spending_2017_11.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-01-24T11%3A44%3A10/spending_2017_12.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-02-26T09%3A28%3A53/spending_2018_01.csv
2017-10,110153967.38,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-11-28T07%3A17%3A34/spending_2017_10.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-12-18T10%3A18%3A03/spending_2017_11.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-01-24T11%3A44%3A10/spending_2017_12.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-02-26T09%3A28%3A53/spending_2018_01.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-03-28T09%3A09%3A07/spending_2018_02.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-04-27T09%3A42%3A21/spending_2018_03.csv
2017-11,120221440.95,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2017-12-18T10%3A18%3A03/spending_2017_11.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-01-24T11%3A44%3A10/spending_2017_12.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-02-26T09%3A28%3A53/spending_2018_01.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-03-28T09%3A09%3A07/spending_2018_02.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-04-27T09%3A42%3A21/spending_2018_03.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-09-18T09%3A23%3A13/spending_2018_08.csv
2017-12,115046135.79,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-01-24T11%3A44%3A10/spending_2017_12.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-02-26T09%3A28%3A53/spending_2018_01.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-03-28T09%3A09%3A07/spending_2018_02.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-04-27T09%3A42%3A21/spending_2018_03.csv
2018-01,113677765.09,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-02-26T09%3A28%3A53/spending_2018_01.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-03-28T09%3A09%3A07/spending_2018_02.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-04-27T09%3A42%3A21/spending_2018_03.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-05-23T13%3A44%3A07/spending_2018_04.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-06-21T07%3A11%3A22/spending_2018_05.csv
2018-02,82680236.42,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-03-28T09%3A09%3A07/spending_2018_02.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-04-27T09%3A42%3A21/spending_2018_03.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-05-23T13%3A44%3A07/spending_2018_04.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-06-21T07%3A11%3A22/spending_2018_05.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-07-24T07%3A47%3A36/spending_2018_06.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-10-22T09%3A58%3A45/Spending_2018_09.csv
2018-03,121205961.57,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-04-27T09%3A42%3A21/spending_2018_03.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-05-23T13%3A44%3A07/spending_2018_04.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-06-21T07%3A11%3A22/spending_2018_05.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-07-24T07%3A47%3A36/spending_2018_06.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-09-04T05%3A38%3A32/spending_2018_07.csv
2018-04,119796532.30,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-05-23T13%3A44%3A07/spending_2018_04.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-06-21T07%3A11%3A22/spending_2018_05.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-07-24T07%3A47%3A36/spending_2018_06.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-09-04T05%3A38%3A32/spending_2018_07.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-10-22T09%3A58%3A45/Spending_2018_09.csv
2018-05,113453305.70,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-06-21T07%3A11%3A22/spending_2018_05.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-07-24T07%3A47%3A36/spending_2018_06.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-09-04T05%3A38%3A32/spending_2018_07.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-09-18T09%3A23%3A13/spending_2018_08.csv
2018-06,112763829.40,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-07-24T07%3A47%3A36/spending_2018_06.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-09-04T05%3A38%3A32/spending_2018_07.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-09-18T09%3A23%3A13/spending_2018_08.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-10-22T09%3A58%3A45/Spending_2018_09.csv
2018-07,108963967.26,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-09-04T05%3A38%3A32/spending_2018_07.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-09-18T09%3A23%3A13/spending_2018_08.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-10-22T09%3A58%3A45/Spending_2018_09.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-11-27T09%3A57%3A13/Spending_2018_10.csv
2018-08,108279687.10,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-09-18T09%3A23%3A13/spending_2018_08.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-10-22T09%3A58%3A45/Spending_2018_09.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-11-27T09%3A57%3A13/Spending_2018_10.csv
2018-09,95016670.15,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-10-22T09%3A58%3A45/Spending_2018_09.csv https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-11-27T09%3A57%3A13/Spending_2018_10.csv
2018-10,101510402.48,https://airdrive-secure.s3-eu-west-1.amazonaws.com/leeds/dataset/council-spending/2018-11-27T09%3A57%3A13/Spending_2018_10.csv
